Date,Open,High,Low,Close,Adj Close,Volume
11/1/2018,1623.530029,1670.449951,1598.439941,1665.530029,1665.530029,8135500
11/2/2018,1678.589966,1697.439941,1651.829956,1665.530029,1665.530029,6955500
11/5/2018,1657.569946,1658.089966,1596.359985,1627.800049,1627.800049,5624700
11/6/2018,1618.349976,1665,1614.550049,1642.810059,1642.810059,4257400
11/7/2018,1673,1759.22998,1664.079956,1755.48999,1755.48999,8192200
11/8/2018,1755,1784,1725.109985,1754.910034,1754.910034,6534900
11/9/2018,1732.5,1743.920044,1701.869995,1712.430054,1712.430054,5902200
11/12/2018,1698.23999,1708.550049,1630.01001,1636.849976,1636.849976,6806200
11/13/2018,1649.290039,1677.060059,1613.75,1631.170044,1631.170044,5933300
11/14/2018,1656.319946,1673,1597.069946,1599.01001,1599.01001,6486900
11/15/2018,1581.01001,1624.819946,1546.51001,1619.439941,1619.439941,8427300
11/16/2018,1587.5,1614.47998,1573.119995,1593.410034,1593.410034,6066100
11/19/2018,1577.01001,1581.189941,1503.359985,1512.290039,1512.290039,7790000
11/20/2018,1437.5,1534.75,1420,1495.459961,1495.459961,10878800
11/21/2018,1542.98999,1550,1515,1516.72998,1516.72998,5716800
11/23/2018,1517,1536.199951,1501.810059,1502.060059,1502.060059,2707600
11/26/2018,1539,1584.810059,1524.219971,1581.329956,1581.329956,6257700
11/27/2018,1575.98999,1597.650024,1558.01001,1581.420044,1581.420044,5783200
11/28/2018,1613.920044,1681.449951,1601.219971,1677.75,1677.75,8458700
11/29/2018,1674.98999,1689.98999,1652.329956,1673.569946,1673.569946,6613200
11/30/2018,1679.5,1696,1666.5,1690.170044,1690.170044,5761800
12/3/2018,1769.459961,1778.339966,1730,1772.359985,1772.359985,6862300
12/4/2018,1756,1770.339966,1665,1668.400024,1668.400024,8694500
12/6/2018,1614.869995,1701.050049,1609.849976,1699.189941,1699.189941,8789400
12/7/2018,1705.069946,1718.930054,1625.459961,1629.130005,1629.130005,7576100
12/10/2018,1623.839966,1657.98999,1590.869995,1641.030029,1641.030029,7494800
12/11/2018,1678,1679.469971,1619.599976,1643.23999,1643.23999,6244700
12/12/2018,1669,1704.98999,1660.27002,1663.540039,1663.540039,6598000
12/13/2018,1680,1692.119995,1641.5,1658.380005,1658.380005,5271300
12/14/2018,1638,1642.569946,1585,1591.910034,1591.910034,6367200
12/17/2018,1566,1576.130005,1505.01001,1520.910034,1520.910034,8829800
12/18/2018,1540,1567.550049,1523.01001,1551.47998,1551.47998,6523000
12/19/2018,1543.050049,1584.530029,1483.180054,1495.079956,1495.079956,8792200
12/20/2018,1484,1509.5,1432.689941,1460.829956,1460.829956,9991800
12/21/2018,1464.98999,1480,1363.959961,1377.449951,1377.449951,13640300
12/24/2018,1346,1396.030029,1307,1343.959961,1343.959961,7220000
12/26/2018,1368.890015,1473.160034,1363.01001,1470.900024,1470.900024,10411800
12/27/2018,1454.199951,1469,1390.310059,1461.640015,1461.640015,9722000
12/28/2018,1473.349976,1513.469971,1449,1478.02002,1478.02002,8829000
12/31/2018,1510.800049,1520.76001,1487,1501.969971,1501.969971,6954500
1/2/2019,1465.199951,1553.359985,1460.930054,1539.130005,1539.130005,7983100
1/3/2019,1520.01001,1538,1497.109985,1500.280029,1500.280029,6975600
1/4/2019,1530,1594,1518.310059,1575.390015,1575.390015,9182600
1/7/2019,1602.310059,1634.560059,1589.189941,1629.51001,1629.51001,7993200
1/8/2019,1664.689941,1676.609985,1616.609985,1656.579956,1656.579956,8881400
1/9/2019,1652.97998,1667.800049,1641.400024,1659.420044,1659.420044,6348800
1/10/2019,1641.01001,1663.25,1621.619995,1656.219971,1656.219971,6507700
1/11/2019,1640.550049,1660.290039,1636.219971,1640.560059,1640.560059,4686200
1/14/2019,1615,1648.199951,1595.150024,1617.209961,1617.209961,6005900
1/15/2019,1632,1675.160034,1626.01001,1674.560059,1674.560059,5998500
1/16/2019,1684.219971,1705,1675.880005,1683.780029,1683.780029,6366900
1/17/2019,1680,1700.170044,1677.5,1693.219971,1693.219971,4208900
1/18/2019,1712,1716.199951,1691.540039,1696.199951,1696.199951,6020500
1/22/2019,1681,1681.869995,1610.199951,1632.170044,1632.170044,6416800
1/23/2019,1656,1657.430054,1612,1640.02002,1640.02002,5225200
1/24/2019,1641.069946,1657.26001,1631.780029,1654.930054,1654.930054,4089900
1/25/2019,1670.5,1683.47998,1661.609985,1670.569946,1670.569946,4945900
1/28/2019,1643.589966,1645,1614.089966,1637.890015,1637.890015,4837700
1/29/2019,1631.27002,1632.380005,1590.719971,1593.880005,1593.880005,4632800
1/30/2019,1623,1676.949951,1619.680054,1670.430054,1670.430054,5783800
1/31/2019,1692.849976,1736.410034,1679.079956,1718.72998,1718.72998,10910300
2/1/2019,1638.880005,1673.060059,1622.01001,1626.22998,1626.22998,11506200
2/4/2019,1623,1649.630005,1613.5,1633.310059,1633.310059,4929100
2/5/2019,1643.339966,1665.26001,1642.5,1658.810059,1658.810059,4453100
2/6/2019,1670.75,1672.26001,1633.339966,1640.26001,1640.26001,3939900
2/7/2019,1625,1625.540039,1592.910034,1614.369995,1614.369995,4626600
2/8/2019,1586,1588.589966,1566.76001,1588.219971,1588.219971,5657500
2/11/2019,1600.97998,1609.290039,1586,1591,1591,3317300
2/12/2019,1604,1639.400024,1598.880005,1638.01001,1638.01001,4858600
2/13/2019,1647,1656.380005,1637.109985,1640,1640,3560300
